"","scenario","plan","title","state_count","lga_count","total_cost","currency","intervention_type"
"1","scenario 1","Scenario 1","Capacity Building",NA,NA,17539672818,"Naira","Support Services"
"2","scenario 1","Scenario 1","Capacity Building",NA,NA,10962296,"USD","Support Services"
"3","scenario 1","Scenario 1","Private Sector CM",37,774,134060831766,"Naira","Malaria Interventions"
"4","scenario 1","Scenario 1","Private Sector CM",37,774,83788020,"USD","Malaria Interventions"
"5","scenario 1","Scenario 1","Public Sector CM",37,774,98280297811,"Naira","Malaria Interventions"
"6","scenario 1","Scenario 1","Public Sector CM",37,774,61425186,"USD","Malaria Interventions"
"7","scenario 1","Scenario 1","Entomological surveillance",26,NA,10018461547,"Naira","Support Services"
"8","scenario 1","Scenario 1","Entomological surveillance",26,NA,6261538,"USD","Support Services"
"9","scenario 1","Scenario 1","Governance & Coordination",NA,NA,7524109700,"Naira","Support Services"
"10","scenario 1","Scenario 1","Governance & Coordination",NA,NA,4702569,"USD","Support Services"
"11","scenario 1","Scenario 1","IPTp",37,774,15561636496,"Naira","Malaria Interventions"
"12","scenario 1","Scenario 1","IPTp",37,774,9726023,"USD","Malaria Interventions"
"13","scenario 1","Scenario 1","IRS",37,774,365163014983,"Naira","Malaria Interventions"
"14","scenario 1","Scenario 1","IRS",37,774,228226884,"USD","Malaria Interventions"
"15","scenario 1","Scenario 1","ITN Campaign",17,363,522412714818,"Naira","Malaria Interventions"
"16","scenario 1","Scenario 1","ITN Campaign",17,363,326507947,"USD","Malaria Interventions"
"17","scenario 1","Scenario 1","ITN Routine Distribution",37,774,126610256254,"Naira","Malaria Interventions"
"18","scenario 1","Scenario 1","ITN Routine Distribution",37,774,79131410,"USD","Malaria Interventions"
"19","scenario 1","Scenario 1","LSM",37,774,254141096880,"Naira","Malaria Interventions"
"20","scenario 1","Scenario 1","LSM",37,774,158838186,"USD","Malaria Interventions"
"21","scenario 1","Scenario 1","Monitoring & Evaluation",NA,NA,9118142934,"Naira","Support Services"
"22","scenario 1","Scenario 1","Monitoring & Evaluation",NA,NA,5698839,"USD","Support Services"
"23","scenario 1","Scenario 1","PMC",21,384,50884742704,"Naira","Malaria Interventions"
"24","scenario 1","Scenario 1","PMC",21,384,31802964,"USD","Malaria Interventions"
"25","scenario 1","Scenario 1","Resource Mobilisation",NA,NA,105450000,"Naira","Support Services"
"26","scenario 1","Scenario 1","Resource Mobilisation",NA,NA,65906,"USD","Support Services"
"27","scenario 1","Scenario 1","SMC",21,385,102440838936,"Naira","Malaria Interventions"
"28","scenario 1","Scenario 1","SMC",21,385,64025524,"USD","Malaria Interventions"
"29","scenario 1","Scenario 1","Social Behaviour Change",NA,NA,14927760000,"Naira","Support Services"
"30","scenario 1","Scenario 1","Social Behaviour Change",NA,NA,9329850,"USD","Support Services"
"31","scenario 1","Scenario 1","Malaria Vaccine",37,774,203307696825,"Naira","Malaria Interventions"
"32","scenario 1","Scenario 1","Malaria Vaccine",37,774,127067311,"USD","Malaria Interventions"
"33","scenario 1","Scenario 1","Global Fund Warehousing & Distribution Activities",NA,NA,4086518400,"Naira","Malaria Interventions"
"34","scenario 1","Scenario 1","Global Fund Warehousing & Distribution Activities",NA,NA,2554074,"USD","Malaria Interventions"
"35","scenario 2","Scenario 2","Capacity Building",NA,NA,17539673600,"Naira","Support Services"
"36","scenario 2","Scenario 2","Capacity Building",NA,NA,10962296,"USD","Support Services"
"37","scenario 2","Scenario 2","Governance & Coordination",NA,NA,7524110400,"Naira","Support Services"
"38","scenario 2","Scenario 2","Governance & Coordination",NA,NA,4702569,"USD","Support Services"
"39","scenario 2","Scenario 2","IRS",7,17,82653827200,"Naira","Malaria Interventions"
"40","scenario 2","Scenario 2","IRS",7,17,51658642,"USD","Malaria Interventions"
"41","scenario 2","Scenario 2","ITN Campaign",17,326,420836474407,"Naira","Malaria Interventions"
"42","scenario 2","Scenario 2","ITN Campaign",17,326,263022797,"USD","Malaria Interventions"
"43","scenario 2","Scenario 2","ITN Routine Distribution",20,448,78434761381,"Naira","Malaria Interventions"
"44","scenario 2","Scenario 2","ITN Routine Distribution",20,448,49021726,"USD","Malaria Interventions"
"45","scenario 2","Scenario 2","LSM",11,22,1.76e+10,"Naira","Malaria Interventions"
"46","scenario 2","Scenario 2","LSM",11,22,1.1e+07,"USD","Malaria Interventions"
"47","scenario 2","Scenario 2","Malaria Vaccine",22,439,116924864000,"Naira","Malaria Interventions"
"48","scenario 2","Scenario 2","Malaria Vaccine",22,439,73078040,"USD","Malaria Interventions"
"49","scenario 2","Scenario 2","Monitoring & Evaluation",NA,NA,9118142400,"Naira","Support Services"
"50","scenario 2","Scenario 2","Monitoring & Evaluation",NA,NA,5698839,"USD","Support Services"
"51","scenario 2","Scenario 2","PMC",3,75,8664929288,"Naira","Malaria Interventions"
"52","scenario 2","Scenario 2","PMC",3,75,5415581,"USD","Malaria Interventions"
"53","scenario 2","Scenario 2","Resource Mobilisation",NA,NA,105449600,"Naira","Support Services"
"54","scenario 2","Scenario 2","Resource Mobilisation",NA,NA,65906,"USD","Support Services"
"55","scenario 2","Scenario 2","Social Behaviour Change",NA,NA,14927760000,"Naira","Support Services"
"56","scenario 2","Scenario 2","Social Behaviour Change",NA,NA,9329850,"USD","Support Services"
"57","scenario 2","Scenario 2","Public Sector CM",NA,NA,98280297811,"Naira","Malaria Interventions"
"58","scenario 2","Scenario 2","Public Sector CM",NA,NA,61425186,"USD","Malaria Interventions"
"59","scenario 2","Scenario 2","Private Sector CM",NA,NA,26812166353,"Naira","Malaria Interventions"
"60","scenario 2","Scenario 2","Private Sector CM",NA,NA,16757604,"USD","Malaria Interventions"
"61","scenario 2","Scenario 2","IPTp",NA,NA,15561636496,"Naira","Malaria Interventions"
"62","scenario 2","Scenario 2","IPTp",NA,NA,9726023,"USD","Malaria Interventions"
"63","scenario 2","Scenario 2","SMC",NA,NA,102440838936,"Naira","Malaria Interventions"
"64","scenario 2","Scenario 2","SMC",NA,NA,64025524,"USD","Malaria Interventions"
"65","scenario 2","Scenario 2","Entomological surveillance",11,NA,2978461541,"Naira","Support Services"
"66","scenario 2","Scenario 2","Entomological surveillance",11,NA,1861538,"USD","Support Services"
"67","scenario 2","Scenario 2","Global Fund Warehousing & Distribution Activities",NA,NA,4086518400,"Naira","Malaria Interventions"
"68","scenario 2","Scenario 2","Global Fund Warehousing & Distribution Activities",NA,NA,2554074,"USD","Malaria Interventions"
"69","scenario 3","Scenario 3","Capacity Building",NA,NA,17539673600,"Naira","Support Services"
"70","scenario 3","Scenario 3","Capacity Building",NA,NA,10962296,"USD","Support Services"
"71","scenario 3","Scenario 3","Governance & Coordination",NA,NA,7524110400,"Naira","Support Services"
"72","scenario 3","Scenario 3","Governance & Coordination",NA,NA,4702569,"USD","Support Services"
"73","scenario 3","Scenario 3","IRS",7,17,82653827200,"Naira","Malaria Interventions"
"74","scenario 3","Scenario 3","IRS",7,17,51658642,"USD","Malaria Interventions"
"75","scenario 3","Scenario 3","ITN Campaign",17,326,420836474407,"Naira","Malaria Interventions"
"76","scenario 3","Scenario 3","ITN Campaign",17,326,263022797,"USD","Malaria Interventions"
"77","scenario 3","Scenario 3","ITN Routine Distribution",20,448,78434761381,"Naira","Malaria Interventions"
"78","scenario 3","Scenario 3","ITN Routine Distribution",20,448,49021726,"USD","Malaria Interventions"
"79","scenario 3","Scenario 3","LSM",11,22,1.76e+10,"Naira","Malaria Interventions"
"80","scenario 3","Scenario 3","LSM",11,22,1.1e+07,"USD","Malaria Interventions"
"81","scenario 3","Scenario 3","Malaria Vaccine",2,29,6976452800,"Naira","Malaria Interventions"
"82","scenario 3","Scenario 3","Malaria Vaccine",2,29,4360283,"USD","Malaria Interventions"
"83","scenario 3","Scenario 3","Monitoring & Evaluation",NA,NA,9118142400,"Naira","Support Services"
"84","scenario 3","Scenario 3","Monitoring & Evaluation",NA,NA,5698839,"USD","Support Services"
"85","scenario 3","Scenario 3","PMC",3,75,8664929288,"Naira","Malaria Interventions"
"86","scenario 3","Scenario 3","PMC",3,75,5415581,"USD","Malaria Interventions"
"87","scenario 3","Scenario 3","Resource Mobilisation",NA,NA,105449600,"Naira","Support Services"
"88","scenario 3","Scenario 3","Resource Mobilisation",NA,NA,65906,"USD","Support Services"
"89","scenario 3","Scenario 3","Social Behaviour Change",NA,NA,14927760000,"Naira","Support Services"
"90","scenario 3","Scenario 3","Social Behaviour Change",NA,NA,9329850,"USD","Support Services"
"91","scenario 3","Scenario 3","Public Sector CM",NA,NA,98280297811,"Naira","Malaria Interventions"
"92","scenario 3","Scenario 3","Public Sector CM",NA,NA,61425186,"USD","Malaria Interventions"
"93","scenario 3","Scenario 3","Private Sector CM",NA,NA,13406083177,"Naira","Malaria Interventions"
"94","scenario 3","Scenario 3","Private Sector CM",NA,NA,8378802,"USD","Malaria Interventions"
"95","scenario 3","Scenario 3","IPTp",NA,NA,15561636496,"Naira","Malaria Interventions"
"96","scenario 3","Scenario 3","IPTp",NA,NA,9726023,"USD","Malaria Interventions"
"97","scenario 3","Scenario 3","SMC",NA,NA,102440838936,"Naira","Malaria Interventions"
"98","scenario 3","Scenario 3","SMC",NA,NA,64025524,"USD","Malaria Interventions"
"99","scenario 3","Scenario 3","Entomological surveillance",11,NA,2978461541,"Naira","Support Services"
"100","scenario 3","Scenario 3","Entomological surveillance",11,NA,1861538,"USD","Support Services"
"101","scenario 3","Scenario 3","Global Fund Warehousing & Distribution Activities",NA,NA,4086518400,"Naira","Malaria Interventions"
"102","scenario 3","Scenario 3","Global Fund Warehousing & Distribution Activities",NA,NA,2554074,"USD","Malaria Interventions"
"103","scenario 4","Scenario 4","Capacity Building",NA,NA,17539673600,"Naira","Support Services"
"104","scenario 4","Scenario 4","Capacity Building",NA,NA,10962296,"USD","Support Services"
"105","scenario 4","Scenario 4","Governance & Coordination",NA,NA,7524110400,"Naira","Support Services"
"106","scenario 4","Scenario 4","Governance & Coordination",NA,NA,4702569,"USD","Support Services"
"107","scenario 4","Scenario 4","IRS",NA,NA,NA,"Naira","Malaria Interventions"
"108","scenario 4","Scenario 4","IRS",NA,NA,NA,"USD","Malaria Interventions"
"109","scenario 4","Scenario 4","ITN Campaign",17,326,420836474407,"Naira","Malaria Interventions"
"110","scenario 4","Scenario 4","ITN Campaign",17,326,263022797,"USD","Malaria Interventions"
"111","scenario 4","Scenario 4","ITN Routine Distribution",24,536,108124558768,"Naira","Malaria Interventions"
"112","scenario 4","Scenario 4","ITN Routine Distribution",24,536,67577849,"USD","Malaria Interventions"
"113","scenario 4","Scenario 4","LSM",11,22,1.76e+10,"Naira","Malaria Interventions"
"114","scenario 4","Scenario 4","LSM",11,22,1.1e+07,"USD","Malaria Interventions"
"115","scenario 4","Scenario 4","Malaria Vaccine",2,29,6976452800,"Naira","Malaria Interventions"
"116","scenario 4","Scenario 4","Malaria Vaccine",2,29,4360283,"USD","Malaria Interventions"
"117","scenario 4","Scenario 4","Monitoring & Evaluation",NA,NA,9118142400,"Naira","Support Services"
"118","scenario 4","Scenario 4","Monitoring & Evaluation",NA,NA,5698839,"USD","Support Services"
"119","scenario 4","Scenario 4","PMC",3,75,8664929288,"Naira","Malaria Interventions"
"120","scenario 4","Scenario 4","PMC",3,75,5415581,"USD","Malaria Interventions"
"121","scenario 4","Scenario 4","Resource Mobilisation",NA,NA,105449600,"Naira","Support Services"
"122","scenario 4","Scenario 4","Resource Mobilisation",NA,NA,65906,"USD","Support Services"
"123","scenario 4","Scenario 4","Social Behaviour Change",NA,NA,14927760000,"Naira","Support Services"
"124","scenario 4","Scenario 4","Social Behaviour Change",NA,NA,9329850,"USD","Support Services"
"125","scenario 4","Scenario 4","Public Sector CM",NA,NA,98280297811,"Naira","Malaria Interventions"
"126","scenario 4","Scenario 4","Public Sector CM",NA,NA,61425186,"USD","Malaria Interventions"
"127","scenario 4","Scenario 4","Private Sector CM",NA,NA,NA,"Naira","Malaria Interventions"
"128","scenario 4","Scenario 4","Private Sector CM",NA,NA,NA,"USD","Malaria Interventions"
"129","scenario 4","Scenario 4","IPTp",NA,NA,15561636496,"Naira","Malaria Interventions"
"130","scenario 4","Scenario 4","IPTp",NA,NA,9726023,"USD","Malaria Interventions"
"131","scenario 4","Scenario 4","SMC",NA,NA,102440838936,"Naira","Malaria Interventions"
"132","scenario 4","Scenario 4","SMC",NA,NA,64025524,"USD","Malaria Interventions"
"133","scenario 4","Scenario 4","Entomological surveillance",26,NA,7040000006,"Naira","Support Services"
"134","scenario 4","Scenario 4","Entomological surveillance",26,NA,4400000,"USD","Support Services"
"135","scenario 4","Scenario 4","Global Fund Warehousing & Distribution Activities",NA,NA,4086518400,"Naira","Malaria Interventions"
"136","scenario 4","Scenario 4","Global Fund Warehousing & Distribution Activities",NA,NA,2554074,"USD","Malaria Interventions"
