zone,adm1,adm2,cities,city,Case management,IPTp,SMC expansion,LLINs (consider micro stratification in large urban areas),PBO LLIN,Additional: IRS instead of LLIN,Additional: IPTi evaluation sample frame
South East,Abia,Aba North,1,Aba,Case management,IPTp,No SMC,Urban Areas (>1M population),No PBO nets,No IRS,IPTi
South East,Abia,Aba South,1,Aba,Case management,IPTp,No SMC,Urban Areas (>1M population),No PBO nets,No IRS,IPTi
South East,Abia,Arochukwu,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Bende,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Ikwuano,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Isiala-Ngwa North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Isiala-Ngwa South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Isuikwato,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Obi Nwa,1,Aba,Case management,IPTp,No SMC,Urban Areas (>1M population),No PBO nets,No IRS,IPTi
South East,Abia,Ohafia,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Osisioma Ngwa,1,Aba,Case management,IPTp,No SMC,Urban Areas (>1M population),No PBO nets,No IRS,IPTi
South East,Abia,Ugwunagbo,1,Aba,Case management,IPTp,No SMC,Urban Areas (>1M population),No PBO nets,No IRS,IPTi
South East,Abia,Ukwa East,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Ukwa West,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Umu-Neochi,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Umuahia North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Abia,Umuahia South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North East,Adamawa,Demsa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Fufore,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Ganaye,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Gireri,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Gombi,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Guyuk,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Hong,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Jada,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Lamurde,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Madagali,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Adamawa,Maiha,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Mayo-Belwa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Michika,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Adamawa,Mubi North,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Adamawa,Mubi South,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Numan,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Shelleng,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Song,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Toungo,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Yola North,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Adamawa,Yola South,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
South South,Akwa Ibom,Abak,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Eastern Obolo,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Akwa Ibom,Eket,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Esit Eket,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Essien Udim,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Etim Ekpo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Etinan,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ibeno,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ibesikpo Asutan,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ibiono Ibom,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ika,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ikono,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ikot Abasi,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ikot Ekpene,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ini,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Itu,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Mbo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Mkpat Enin,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Akwa Ibom,Nsit Atai,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Nsit Ibom,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Nsit Ubium,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Obot Akara,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Okobo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Onna,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Akwa Ibom,Oron,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Oruk Anam,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Udung Uko,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Ukanafun,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Akwa Ibom,Uruan,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Urue-Offong/Oruko,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Akwa Ibom,Uyo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Aguata,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Anambra East,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Anambra West,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Anaocha,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Awka North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Awka South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Ayamelum,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Dunukofia,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Ekwusigo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Idemili North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Idemili South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Ihiala,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Njikoka,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Nnewi North,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South East,Anambra,Nnewi South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Ogbaru,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Onitsha North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Onitsha South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Orumba North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Orumba South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South East,Anambra,Oyi,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North East,Bauchi,Alkaleri,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Bauchi,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Bogoro,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Damban,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Darazo,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Dass,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Gamawa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Ganjuwa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Giade,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Itas/Gadau,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Jama'are,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Katagum,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Kirfi,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Misau,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Ningi,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Shira,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Tafawa-Balewa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Toro,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Warji,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Bauchi,Zaki,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
South South,Bayelsa,Brass,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Ekeremor,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Kolokuma/Opokuma,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Nembe,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Ogbia,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Sagbama,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Southern Ijaw,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Bayelsa,Yenegoa,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Ado,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Agatu,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Apa,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Buruku,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Gboko,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Guma,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Gwer East,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Gwer West,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Katsina-Ala,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Konshisha,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Kwande,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Logo,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Makurdi,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Obi1,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
North Central,Benue,Ogbadibo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Ohimini,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
North Central,Benue,Oju,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Okpokwu,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
North Central,Benue,Oturkpo,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Tarka,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Ukum,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Ushongo,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North Central,Benue,Vandeikya,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Abadam,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Askira/Uba,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Bama,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Bayo,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Biu,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Chibok,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Damboa,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Dikwa,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Gubio,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Guzamala,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Gwoza,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Hawul,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Jere,1,Maiduguri,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
North East,Borno,Kaga,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Kala/Balge,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Konduga,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Kukawa,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Kwaya Kusar,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Mafa,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Magumeri,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Maiduguri,1,Maiduguri,Case management,IPTp,SMC,Urban Areas (>1M population),No PBO nets,No IRS,No IPTi
North East,Borno,Marte,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Mobbar,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Monguno,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Ngala,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Nganzai,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
North East,Borno,Shani,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
South South,Cross River,Abi,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Akamkpa,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Akpabuyo,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Bakassi,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Cross River,Bekwara,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
South South,Cross River,Biase,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Boki,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Calabar South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Calabar-Municipal,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Cross River,Etung,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Ikom,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Cross River,Obanliku,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
South South,Cross River,Obubra,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Cross River,Obudu,0,,Case management,IPTp,SMC,No LLINs,No PBO nets,IRS,No IPTi
South South,Cross River,Odukpani,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Cross River,Ogoja,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
South South,Cross River,Yakurr,0,,Case management,IPTp,No SMC,No LLINs,No PBO nets,IRS,IPTi
South South,Cross River,Yala,0,,Case management,IPTp,SMC,LLINs,No PBO nets,No IRS,No IPTi
South South,Delta,Aniocha North,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Delta,Aniocha South,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Delta,Bomadi,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Delta,Burutu,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
South South,Delta,Ethiope East,0,,Case management,IPTp,No SMC,LLINs,No PBO nets,No IRS,IPTi
